success
Mindex MINXOBJ
XWPMouse D:\OS2UTIL\XWORKPLACE\BIN\XFLDR.DLL
XWPKeyboard D:\OS2UTIL\XWORKPLACE\BIN\XFLDR.DLL
XWPProgram D:\OS2UTIL\XWORKPLACE\BIN\XFLDR.DLL
XFldSystem D:\OS2UTIL\XWORKPLACE\BIN\XFLDR.DLL
XFldWPS D:\OS2UTIL\XWORKPLACE\BIN\XFLDR.DLL
XWPScreen D:\OS2UTIL\XWORKPLACE\BIN\XFLDR.DLL
XFldStartup D:\OS2UTIL\XWORKPLACE\BIN\XFLDR.DLL
XFldShutdown D:\OS2UTIL\XWORKPLACE\BIN\XFLDR.DLL
XWPSetup D:\OS2UTIL\XWORKPLACE\BIN\XFLDR.DLL
XWPTrashCan D:\OS2UTIL\XWORKPLACE\BIN\XFLDR.DLL
XWPTrashObject D:\OS2UTIL\XWORKPLACE\BIN\XFLDR.DLL
XWPClassList D:\OS2UTIL\XWORKPLACE\BIN\XFLDR.DLL
XWPMedia D:\OS2UTIL\XWORKPLACE\BIN\XFLDR.DLL
XCenter D:\OS2UTIL\XWORKPLACE\BIN\XFLDR.DLL
XWPFontFolder D:\OS2UTIL\XWORKPLACE\BIN\XFLDR.DLL
XWPFontFile D:\OS2UTIL\XWORKPLACE\BIN\XFLDR.DLL
XWPFontObject D:\OS2UTIL\XWORKPLACE\BIN\XFLDR.DLL
AdvDialer ADVDIAL
AdvUser ADVUSER
AdvAccount ADVACCT
AdvReg ADVREG
AdvCust ADVCUST
Ftp FTPWPS
Telnet WPTELNET
AMouse AMOUSE
WPVideoSystem D:\OS2\DLL\SDDVCFG.DLL
RWS06 E:\PRG\LSWITCH\V271\RWS\RWSSRV06.DLL
